Date,o,h,l,c,v
2024-09-26,39.79894871,40.1058536,36.34376475,39.25443649,138171800
2024-09-27,39.60094579,39.61084437,36.72987571,37.28429031,85253500
2024-09-30,35.8883536,37.03678076,34.70032459,36.31406403,74316700
2024-10-01,36.22495966,36.62097057,32.41337073,33.49249649,124928300
2024-10-02,33.5122983,35.69035103,32.82918335,34.61122513,81729100
2024-10-03,33.7301077,36.24476884,33.64100541,34.85873413,86857200
2024-10-04,36.93777992,37.15558253,35.09633552,36.31406403,100846900
2024-10-07,35.56164731,36.86848199,35.21514055,36.04676056,73150200
2024-10-08,36.05665915,37.4525961,35.30424284,37.08628464,66629700
2024-10-09,36.91798071,38.37331283,36.16556067,38.22481155,67182800
2024-10-10,36.72987794,38.03670893,35.99726252,37.45259857,79999000
2024-10-11,36.56157857,38.66042793,36.49227721,38.28421783,58434500
2024-10-14,39.04652811,40.65036901,38.95742584,40.41276169,69661800
2024-10-15,40.08605179,40.7790652,33.30438879,34.12611008,131664200
2024-10-16,35.39334224,35.39334224,33.66080101,34.11621094,70233000
2024-10-17,36.79917971,36.98728663,34.85873413,34.85873413,97549000
2024-10-18,35.88835546,35.96755916,34.50232091,34.91813278,56704300
2024-10-21,34.49242329,35.02703696,33.39349646,34.7399292,59115800
2024-10-22,34.05681765,34.68052988,33.51230158,34.34392166,51493100
2024-10-23,34.06670634,34.53201857,31.96785771,33.46279144,81658300
2024-10-24,34.23501421,34.39341782,33.19548652,33.94790649,60128300
2024-10-25,34.83892964,36.50216962,34.81912872,34.92803192,82300500
2024-10-28,34.94783691,35.72995656,34.40332461,34.99733734,51661100
2024-10-29,35.1062371,38.06640942,34.59142436,37.60109711,72288200
2024-10-30,34.62112557,35.34384233,33.57169923,33.67070007,89440100
2024-10-31,32.68067936,32.69058171,28.93839114,29.78981209,135437800
2024-11-01,30.38382391,31.51245018,30.07691524,30.52242661,80726000
2024-11-04,30.30462278,31.35404726,29.71060824,30.04721642,60422400
2024-11-05,30.05711765,31.17584351,29.94821445,31.06694031,63174900
2024-11-06,32.91828263,34.15581205,32.07676413,33.77960205,97893100
2024-11-07,35.41314208,36.00715468,35.0864325,35.84875107,77945800
2024-11-08,35.20524105,35.91805548,34.49242284,35.05673599,62666300
2024-11-11,34.00731257,34.06671535,31.16594561,32.44307709,99155700
2024-11-12,32.04706512,32.22526968,30.07691824,31.35404968,75694800
2024-11-13,30.52243098,30.90853962,29.17599812,29.39380455,92269200
2024-11-14,30.28482208,30.53232798,29.08689254,29.30469894,68994200
2024-11-15,27.73056188,28.20577277,26.16632464,26.39402962,113560200
2024-11-18,26.4336311,27.55235695,26.03762015,27.39395332,70256700
2024-11-19,27.09694792,27.75036337,26.81974062,27.57215881,57030600
2024-11-20,27.06724662,27.28505114,25.74061478,26.85934067,90911700
2024-11-21,27.77016336,28.63148479,26.20592603,28.20577431,106013200
2024-11-22,27.96816885,28.4037798,27.5622593,28.20577431,52604100
2024-11-25,29.28489948,29.79971223,28.45327947,29.03739357,70536000
2024-11-26,29.7403122,29.94821626,27.18604929,27.84936523,73204200
2024-11-27,27.40385369,27.47315504,25.32480374,26.71083641,84235700
2024-11-29,27.27514759,28.75028431,27.22564716,27.78005981,54303400
2024-12-02,28.27507405,30.49272673,28.17607131,29.89871407,89389800
2024-12-03,29.28489984,29.97791716,29.10669528,29.43340302,59730300
2024-12-04,31.22534729,31.24514633,29.93831539,30.57192993,67498800
2024-12-05,30.44322844,30.56203212,28.59188331,28.82949066,59282100
2024-12-06,28.90869234,29.56210782,28.6116841,29.3146019,49152300
2024-12-09,28.7799871,30.01751666,28.32457713,28.93839073,54963000
2024-12-10,29.13639591,29.23539865,26.29502724,26.79003906,77681700
2024-12-11,28.04737104,29.33440108,27.51275923,28.82949066,77277400
2024-12-12,28.16617259,28.54238074,27.46325484,28.17607117,59937600
2024-12-13,30.06701862,30.99763948,29.19579677,30.39372635,103693900
2024-12-16,30.80953849,32.62128179,30.08681975,32.18566895,85469700
2024-12-17,31.26494651,31.7698588,30.24522148,30.81943512,64499000
2024-12-18,31.4629507,32.15596608,26.73063721,27.55235672,102912200
2024-12-19,27.69096007,27.73056192,25.8000151,26.03762054,86520100
2024-12-20,25.56241055,28.08697201,25.33470556,27.02764511,108080200
2024-12-23,27.68985749,29.54643898,27.66007398,29.37765884,79330900
2024-12-24,30.04284996,30.35062482,29.44715527,30.26127052,39963700
2024-12-26,29.68543391,30.87682333,29.54643917,30.35062599,45184100
2024-12-27,29.76486001,29.96342555,28.3848354,29.47694206,59316300
2024-12-30,28.03734453,28.5734703,27.12394654,27.73949814,64859000
2024-12-31,27.99763196,28.3649757,26.73674528,27.11401749,61199500
2025-01-02,27.92813554,28.84153361,26.84595923,27.47143745,80996300
2025-01-03,28.11677267,29.90385684,27.957921,29.60600853,72119600
2025-01-06,31.58172873,33.38866987,31.58172873,32.2568512,95159500
2025-01-07,33.32909594,33.4879476,30.38040982,30.92646217,79205700
2025-01-08,30.57897442,30.78746842,28.97060081,29.96342468,69523500
2025-01-10,28.85146071,28.88124611,27.24308713,27.85863686,85395000
2025-01-13,26.2502631,27.67000151,26.06162604,27.65014458,68286400
2025-01-14,28.265694,28.75217745,26.98495223,27.91820717,79759400
2025-01-15,29.4372293,30.24141616,29.08974055,29.72514915,69461300
2025-01-16,31.23423832,31.49237276,29.7747879,29.7747879,78881100
2025-01-17,31.80014931,32.47526989,31.2540969,32.2568512,69688900
2025-01-21,33.09082115,34.28220675,32.26677553,33.44823456,60897500
2025-01-22,34.44106042,35.89058622,34.16307093,34.8977623,57709400
2025-01-23,33.20002805,34.66940689,32.7731135,34.66940689,44900600
2025-01-24,34.68926266,34.68926266,32.07813876,32.41569901,60111500
2025-01-27,27.46150748,27.87849358,23.66892069,24.8801651,198431800
2025-01-28,25.25743987,25.61485518,23.579567,25.1879425,103185300
2025-01-29,25.92263064,26.11126581,24.6716724,25.49571609,94141700
2025-01-30,26.38926033,27.47143858,25.95241727,26.95516968,87140400
2025-01-31,27.43172062,29.040096,26.50839608,26.8260994,102136600
2025-02-03,24.62203309,26.29990609,24.13554958,25.42622185,103914300
2025-02-04,25.15815871,26.4091171,25.01916397,26.06162834,60520500
2025-02-05,25.90277554,27.74942858,25.35672315,27.50122261,70330700
2025-02-06,26.97502597,27.6005042,26.52825445,27.49129486,59735100
2025-02-07,27.6700019,28.07705954,25.61485492,26.14105225,87930800
2025-02-10,26.72681962,27.35229785,26.70696269,27.15373421,53330500
2025-02-11,26.48854233,27.69978682,26.48854233,27.20337486,43880500
2025-02-12,25.99212807,27.34236908,25.76377904,27.34236908,57999300
2025-02-13,27.29272677,28.34511949,27.20337247,28.26569366,61026300
2025-02-14,28.28555058,28.61318236,27.90827836,28.34511948,43089600
2025-02-18,28.99045802,30.01306541,28.50397266,29.7747879,60222200
2025-02-19,29.97335578,31.66115537,29.54644118,31.24416924,58412700
2025-02-20,31.82993614,32.40577204,30.479695,31.47251892,50903200
2025-02-21,31.68101072,31.73065115,28.19619858,28.60325623,61966500
2025-02-24,28.9507454,29.05002817,26.4686856,26.56796837,63724100
2025-02-25,26.4686849,26.72681934,24.64188878,24.89009476,90907500
2025-02-26,25.80349294,26.80624531,25.33686639,26.10134125,75869500
2025-02-27,26.58782464,26.70696244,21.57406282,21.59391975,144841600
2025-02-28,21.64356037,23.05337039,20.86915893,22.5668869,110939400
2025-03-03,23.54978147,23.55970994,19.56855753,20.36281776,141822100
2025-03-04,20.13446822,22.10025897,18.86365302,20.50181198,154119800
2025-03-05,21.09750868,22.00097831,19.97561846,21.79248619,117702400
2025-03-06,19.56855788,20.86915853,18.8735823,19.09200287,164277600
2025-03-07,19.36006555,20.93865567,18.61544765,20.73016167,139349200
2025-03-10,19.20121346,19.65791152,16.97728826,17.86090088,169215200
2025-03-11,17.92047141,18.36724295,16.39152353,17.2850647,161267000
2025-03-12,18.40695384,18.9728631,17.77154533,18.16867447,137654500
2025-03-13,18.24810204,19.13171658,17.45384369,17.9601841,117160200
2025-03-14,18.92322189,19.78697946,18.85372452,19.6579113,99718700
2025-03-17,19.36999473,21.1272935,19.36006626,20.64081001,82794200
2025-03-18,20.0451141,20.2536062,19.37992205,19.78697968,79140900
2025-03-19,19.74726965,21.21665068,19.32035501,20.2337532,83249700
2025-03-20,19.46927635,20.42238633,19.44941941,19.78697968,80380600
2025-03-21,18.68494359,19.35013561,18.23817402,19.14164352,84348300
2025-03-24,20.3330334,21.21664797,20.22382406,20.84930229,91671300
2025-03-25,20.74473203,20.9339548,20.26669738,20.46587753,57784400
2025-03-26,20.21690035,20.42604169,18.1254983,18.71308327,94328400
2025-03-27,18.09561929,18.3346366,17.28893564,17.68729782,103112800
2025-03-28,17.25905782,17.51799372,15.6755665,15.96438026,138232400
2025-03-31,15.00830967,15.91458438,14.34105229,15.88470745,111345600
2025-04-01,15.66560777,15.92454367,14.76929236,15.88470745,106085000
2025-04-02,15.12781713,16.82085774,14.96847226,16.19343758,141655200
2025-04-03,13.7534688,14.06219927,11.3533334,11.36329269,302517400
2025-04-04,10.00885961,10.38730416,8.146514739,8.694262505,499158100
2025-04-07,7.847742482,10.93505173,7.200403233,9.112543106,723467300
2025-04-08,10.36738513,10.79562518,7.568888298,8.216227531,488735500
2025-04-09,8.445286195,13.05633315,8.206268876,12.71772575,787748800
2025-04-10,10.87529829,11.09439797,8.315819069,9.590579033,686331800
2025-04-11,9.31172589,10.34746858,8.873526511,10.18812275,412972900
2025-04-14,11.10435594,11.11431523,9.929187038,10.42714024,358849500
2025-04-15,10.5566082,10.97488896,10.36738545,10.5566082,230001400
2025-04-16,9.092625071,9.710086893,8.295899803,9.301765442,362439300
2025-04-17,9.51090685,9.51090685,8.863567084,9.162339211,233659100
2025-04-21,8.634507848,8.704220986,8.116636107,8.674344063,255318100
2025-04-22,8.923321102,9.361519486,8.813771743,9.142420769,249211900
2025-04-23,10.53668897,10.85537869,10.05865438,10.24787617,368456100
2025-04-24,11.00476627,12.04050892,10.80558517,11.95087719,339636700
2025-04-25,11.5823923,12.53846255,11.46288364,12.28948593,274438500
2025-04-28,12.11022188,12.47870714,11.40312828,12.23968983,203468900
2025-04-29,11.76165449,12.21977146,11.57243175,11.81144905,184045100
2025-04-30,10.94501214,12.16001833,10.70599481,12.11022282,229393200
2025-05-01,12.48866687,12.75756206,12.00067293,12.05046844,203349500
