Date,o,h,l,c,v
2024-09-26,561.4238457,561.7464187,557.0449191,559.3907471,48336000
2024-09-27,560.456263,561.2674981,557.5532252,558.5795288,42100900
2024-09-30,557.5530629,561.423759,555.2658795,560.817749,63557400
2024-10-01,560.4659695,561.1110557,553.2328657,555.7937622,72668800
2024-10-02,554.9042964,557.0448994,552.5193327,556.0283203,38097800
2024-10-03,554.5621954,556.9471594,552.7343813,555.0118408,40846500
2024-10-04,559.4396259,560.4268531,555.285492,560.0554199,42939100
2024-10-07,558.413177,559.0583228,553.8485349,554.9921265,49964700
2024-10-08,557.5531809,560.8374356,556.6833017,560.2411499,37398700
2024-10-09,560.2313781,564.6787929,559.635152,564.1216431,37912200
2024-10-10,562.7825342,564.5517041,561.5313781,563.1343994,44138100
2024-10-11,563.0561277,567.2396131,562.9192714,566.5065308,42268000
2024-10-14,568.1095386,572.0682315,567.6306009,571.1396484,36217200
2024-10-15,571.4035256,571.7065306,565.4899467,566.7020264,54203600
2024-10-16,566.7021056,569.6832958,565.900595,569.1652222,30725400
2024-10-17,572.6936845,572.898969,569.0282727,569.2139893,34393700
2024-10-18,570.8952749,572.1855071,569.438894,571.4035645,37416800
2024-10-21,570.6800967,571.6575398,567.5034068,570.4650879,36439000
2024-10-22,567.9432945,571.3154851,567.2884243,570.1621094,34183800
2024-10-23,568.148651,568.5885123,561.4629132,564.9523926,49314600
2024-10-24,566.8974928,566.9757049,563.5644377,566.1741943,34979900
2024-10-25,568.3929532,571.2764223,565.0403305,565.9786377,47268200
2024-10-28,569.4388581,569.5659304,567.4253275,567.7283325,30174700
2024-10-29,566.7704218,569.7613957,565.3824692,568.6471558,42899700
2024-10-30,568.1779151,570.1621533,566.2230287,566.9268188,41435800
2024-10-31,562.5772452,562.6456734,555.6178539,555.8133545,60182500
2024-11-01,558.4327703,562.5673353,557.7485482,558.1590576,45667500
2024-11-04,558.2958792,559.5861111,555.0801133,556.9567871,38217000
2024-11-05,557.8660055,563.7306656,557.6509966,563.6915894,39478300
2024-11-06,575.9096066,578.5780077,572.18555,577.7080688,68182000
2024-11-07,579.7020873,583.191567,579.6238751,582.1749878,47233200
2024-11-08,582.7222621,586.1140208,582.7222621,584.6967163,46444900
2024-11-11,586.2802708,586.6321361,583.5336575,585.2539673,37586800
2024-11-12,585.1756087,585.7718346,580.9628314,583.435791,43006100
2024-11-13,583.8951098,585.7131395,581.5394985,583.7191772,47388600
2024-11-14,583.8464232,584.3253609,579.2817798,579.9659424,38904100
2024-11-15,576.4177744,576.8869877,570.6899716,572.5373535,75988800
2024-11-18,572.9967219,576.1929802,572.1366268,574.8832397,37001700
2024-11-19,571.5208064,577.7079786,570.8561522,576.9846802,49412000
2024-11-20,577.0628874,577.4636128,571.4425893,577.1801758,50032600
2024-11-21,580.0148784,581.6960523,574.1990789,580.2787476,46750300
2024-11-22,580.2688429,582.7027263,579.770397,582.0771484,38226400
2024-11-25,585.9966768,587.3064171,581.7741157,584.0515747,42441400
2024-11-26,585.2929517,587.7659115,584.5794373,587.1012573,45621300
2024-11-27,586.915625,587.2967826,583.8073625,585.3223877,34000200
2024-11-29,586.1335489,589.7403166,585.8598959,588.958374,30177400
2024-12-02,589.3689531,590.6885374,588.8802315,590.0140991,31746000
2024-12-03,589.7794288,590.5320195,588.7531255,590.2876587,26906600
2024-12-04,591.9688854,594.1974247,591.3042313,593.953064,42787600
