Datetime,o,h,l,c,v
2026-07-02 13:30:00,747.4000244,751.3099976,747.0999756,747.9400024,8848490
2026-07-02 14:30:00,747.9500122,749.3800049,744.2000122,744.9099731,6196242
2026-07-02 15:30:00,744.8800049,746.710022,743.3699951,743.539978,3966804
2026-07-02 16:30:00,743.5599976,743.5700073,740.3699951,741.5300293,6493451
2026-07-02 17:30:00,741.539978,742.9000244,740.0300293,742.7199707,4147807
2026-07-02 18:30:00,742.710022,743.5100098,741.2700195,742.3099976,4678564
2026-07-02 19:30:00,742.3400269,745.5800171,742.1699829,744.8400269,10800864
2026-07-06 13:30:00,748.7399902,749.9799805,747.4099731,749.9400024,9502673
2026-07-06 14:30:00,749.9299927,750.8099976,749.0999756,750.7600098,5007184
2026-07-06 15:30:00,750.7800293,751.1199951,750.3499756,750.6500244,3857791
2026-07-06 16:30:00,750.6500244,751.5300293,750.3699951,750.7000122,4006847
2026-07-06 17:30:00,750.7000122,751.6063843,749.6300049,751.3300171,3570667
2026-07-06 18:30:00,751.3300171,752.4099731,751.0100098,752.289978,5760478
2026-07-06 19:30:00,752.2800293,752.289978,750.7700195,751.3099976,10857183
2026-07-07 13:30:00,750.2199707,750.960022,746.0900269,746.7000122,8890149
2026-07-07 14:30:00,746.6799927,747.0100098,745.210022,746.3690186,5436793
2026-07-07 15:30:00,746.3599854,748.9899902,745.4299927,748.7700195,4078018
2026-07-07 16:30:00,748.7650146,749.3400269,748.2399902,748.8400269,3691978
2026-07-07 17:30:00,748.8499756,749.2999878,748.6500244,748.9899902,2974819
2026-07-07 18:30:00,749,749.0700073,746,746.7000122,6988089
2026-07-07 19:30:00,746.6699829,747.9699707,746.3800049,747.7000122,7041325
2026-07-08 13:30:00,743.1599731,744.9249878,742.6400146,743.1099854,10234656
2026-07-08 14:30:00,743.0900269,743.6900024,739.5499878,739.9400024,6071240
2026-07-08 15:30:00,739.960022,743.4699707,739.5100098,743.0999756,4562954
2026-07-08 16:30:00,743.0900269,745.7800293,742.4500122,745.7199707,4222351
2026-07-08 17:30:00,745.7299805,746.0900269,743.9500122,744.6699829,3657543
2026-07-08 18:30:00,744.6699829,745.7249756,744.2600098,745.1900024,3204464
2026-07-08 19:30:00,745.2000122,746.1500244,744.4099731,745.289978,5785310
2026-07-09 13:30:00,747.3499756,749.2299805,745.5900269,747.8798828,10117150
2026-07-09 14:30:00,747.8599854,749.9799805,747.0999756,749.7999878,3400546
2026-07-09 15:30:00,749.7800293,750.8200073,749.4849854,750.6400146,3846118
2026-07-09 16:30:00,750.6400146,751.789978,750.2399902,751.7550049,3163238
2026-07-09 17:30:00,751.7600098,751.9699707,751.1799927,751.4505005,3195501
2026-07-09 18:30:00,751.4500122,751.5894775,750.6600952,751.0999756,4391438
2026-07-09 19:30:00,751.0900269,751.6699829,750.8300171,751.6500244,6207463
2026-07-10 13:30:00,752.0499878,753.3499756,751.7999878,752.5861816,5555228
2026-07-10 14:30:00,752.5858765,753.4199829,748.0999756,753.25,6378487
2026-07-10 15:30:00,753.25,753.6900024,751.3800049,753.210022,3179216
2026-07-10 16:30:00,753.210022,754.1400146,753.0300293,754.0100098,4675829
2026-07-10 17:30:00,754.0200195,754.7199707,753.875,754.4299927,3163801
2026-07-10 18:30:00,754.4199829,755.1799927,754.3099976,754.960022,4724208
2026-07-10 19:30:00,754.960022,755.4199829,754.5700073,754.9000244,7855821
2026-07-13 13:30:00,752.4699707,753.9105225,750.2999878,753.0900269,8606011
2026-07-13 14:30:00,753.0900269,753.2999878,751,752.3800049,3363761
2026-07-13 15:30:00,752.3900146,752.5250244,749.9299927,750.289978,3266766
2026-07-13 16:30:00,750.2700195,750.6599731,748.9299927,749.8099976,4296059
2026-07-13 17:30:00,749.8099976,750.2600098,749.039978,749.2399902,3602167
2026-07-13 18:30:00,749.2399902,750.0700073,748.1699829,748.3800049,6714464
2026-07-13 19:30:00,748.3900146,749.6099854,748,749.0999756,9398292
2026-07-14 13:30:00,750.9099731,751.789978,748.6599731,750.710022,8234196
2026-07-14 14:30:00,750.710022,753.3099976,750.4699707,752.6599731,4855728
2026-07-14 15:30:00,752.6400146,752.9000244,750,750.7800293,3827217
2026-07-14 16:30:00,750.7800293,752.6099854,750.6199951,752.2999878,2404455
2026-07-14 17:30:00,752.3200073,752.7700195,751.7600098,752.5,2000351
2026-07-14 18:30:00,752.4849854,752.5999756,751.6599731,752.1500244,4908551
2026-07-14 19:30:00,752.1599731,752.5200195,751.710022,751.8699951,5518752
2026-07-15 13:30:00,754.2399902,755.5800171,753.1799927,754.6199951,8400817
2026-07-15 14:30:00,754.6400146,754.8699951,752.2000122,753.6049805,4580268
2026-07-15 15:30:00,753.5999756,753.8400269,750.4400024,750.8300171,4030525
2026-07-15 16:30:00,750.8099976,752.8499756,750.2000122,752.8099976,4393950
2026-07-15 17:30:00,752.8099976,754.8400269,752.8099976,754.6350098,4361663
2026-07-15 18:30:00,754.6350098,754.9199829,753.0499878,753.6300049,4333663
2026-07-15 19:30:00,753.6300049,754.7999878,753.0900269,754.7299805,6612755
2026-07-16 13:30:00,752.7600098,754.3880005,750.6699829,754.3499756,7814635
2026-07-16 14:30:00,754.3400269,754.5700073,752.9799805,753.8001099,3992418
2026-07-16 15:30:00,753.8200073,754.4050293,751.4500122,751.9299927,3778459
