Date,o,h,l,c,v
2024-09-26,36.8115337,36.88523613,35.17044466,35.9615097,107003200
2024-09-27,36.17278837,36.19244261,35.07708834,35.34241486,82930600
2024-09-30,35.11148087,35.68144235,34.48256045,35.61756516,85862800
2024-10-01,35.5143882,35.58809065,33.26402897,34.1091423,134760200
2024-10-02,33.90768893,34.6594455,33.34755644,34.23688889,79119400
2024-10-03,33.77012043,34.79211449,33.6030613,34.15827942,97749400
2024-10-04,35.37680791,35.45542484,34.2860224,35.36206818,110700400
2024-10-07,34.91003414,35.17044617,33.93225572,34.19758224,82403400
2024-10-08,34.7184074,35.8583266,34.54643381,35.68144226,77914000
2024-10-09,35.63230744,36.6690448,35.40628938,36.54129791,78696200
2024-10-10,36.02538484,36.82627517,35.73057884,36.41354752,86060600
2024-10-11,35.95168282,36.7525769,35.81902143,36.5069046,70735200
2024-10-14,37.0670372,37.74509139,36.95402629,37.44045639,67691200
2024-10-15,37.51415631,37.66156117,35.44559617,35.94676971,106307600
2024-10-16,35.98607152,36.10890765,35.21466078,35.92711258,70784200
2024-10-17,37.13582028,37.14564552,35.99098663,36.03520584,97697800
2024-10-18,36.58551565,36.9245446,36.42337105,36.67395782,64151600
2024-10-21,36.38898192,37.05721092,35.9566,36.8754158,74995800
2024-10-22,36.26614261,37.31761972,36.09417275,36.98350525,76308000
2024-10-23,36.443027,36.59043187,34.53169686,35.27362823,118172200
2024-10-24,36.07451447,36.2612278,35.49472778,36.11382294,78612800
2024-10-25,36.70344071,37.8335348,36.55112508,36.72309494,114826000
2024-10-28,37.4355462,37.4355462,36.68378956,36.75748825,69162200
2024-10-29,36.81645002,38.05955122,36.39389338,37.77457047,78545200
2024-10-30,37.61242988,37.82370821,36.82136479,36.93437195,80473200
2024-10-31,36.02047282,36.03030181,34.11405705,34.12388229,138905200
2024-11-01,34.43343204,35.55369718,34.37938383,34.85107422,96678800
2024-11-04,34.70858184,35.25888913,34.1533638,34.52678299,82214400
2024-11-05,34.86089429,35.98607375,34.84615455,35.83867264,79352600
2024-11-06,37.66647616,38.92431705,37.43554362,38.74743271,118794200
2024-11-07,39.38618402,40.74720688,39.35670079,40.56049728,99545200
2024-11-08,40.39835565,40.83565207,40.24604001,40.6587677,70060000
2024-11-11,40.94374715,40.99288086,39.88735549,40.58506393,70806000
2024-11-12,40.5555767,40.76685499,39.62693586,40.36395264,68286000
2024-11-13,40.22146672,40.82581844,39.64167998,40.18707275,74989000
2024-11-14,40.08880422,40.30499704,39.1208585,39.33704758,77651400
2024-11-15,37.96619456,38.05463673,36.0106452,36.4921608,120601600
2024-11-18,36.81645171,37.70578425,36.5118167,37.22917938,77551200
2024-11-19,36.62973779,38.10377145,36.5658606,37.97602081,80088200
2024-11-20,37.90723586,37.9760238,36.41354786,37.93180084,101260600
2024-11-21,38.59511295,38.75725379,36.63464565,38.30521774,109865600
2024-11-22,38.14798768,38.62459245,37.7745648,38.44770813,79934800
2024-11-25,39.38618509,39.73503931,38.09886088,38.62459946,91515800
2024-11-26,38.95871066,39.43040099,38.76217208,39.22403717,69747200
2024-11-27,38.95871409,38.96853933,37.50433451,38.27574539,78463600
2024-11-29,38.38874593,39.3910892,38.25117007,39.25351334,40865800
2024-12-02,39.54341478,40.75703278,39.45005811,40.52610397,73638200
2024-12-03,40.191987,40.94374358,40.05932186,40.88478088,84810800
2024-12-04,41.70041343,42.43743026,41.52352909,42.37846756,69992600
2024-12-05,42.37846383,42.57008789,41.93133853,42.02960968,54020400
2024-12-06,42.14753788,43.17445001,42.1180584,43.11057281,62740600
2024-12-09,42.86981359,43.07126666,41.80359677,42.10331726,69577600
2024-12-10,42.37846847,42.80593959,41.29751193,41.64636612,71541600
2024-12-11,42.68801952,44.03430649,42.5897521,43.87216187,74897800
2024-12-12,43.30219623,43.61665646,42.88455409,43.00247574,66348400
2024-12-13,43.93602992,44.59934433,43.16461911,43.92620468,79663600
2024-12-16,44.57477674,46.08320431,44.55020801,45.83753204,69967600
2024-12-17,45.36584854,45.65082931,44.795887,45.22335815,69168200
2024-12-18,45.03172488,45.48376093,39.94139548,40.33446884,134849200
2024-12-19,41.40560393,41.53335457,39.67607275,39.76451492,113317600
2024-12-20,38.84570231,42.18684704,38.57055054,40.79634094,145241000
2024-12-23,41.1389577,42.02138759,40.34033681,41.93265152,83645800
2024-12-24,42.37139887,43.61863464,42.21857711,43.5989151,48139600
2024-12-26,43.19467845,43.91442496,42.6869086,43.50525284,59062000
2024-12-27,42.57845296,42.68690482,40.56217375,41.73546219,102139000
2024-12-30,40.02975261,40.94669063,39.14732661,40.0593338,102844000
2024-12-31,40.32555275,40.50302491,38.78746191,39.00930023,105177600
2025-01-02,39.70439444,40.23188003,37.7275543,38.76280594,141370600
