Datetime,o,h,l,c,v
2026-07-02 13:30:00,77.47000122,79.13500214,76.16999817,76.35990143,28749305
2026-07-02 14:30:00,76.37000275,76.89499664,73.86000061,74.33000183,15624583
2026-07-02 15:30:00,74.33000183,75.44000244,73.37000275,73.44000244,9559737
2026-07-02 16:30:00,73.44499969,73.47989655,72.16000366,72.60500336,9151702
2026-07-02 17:30:00,72.59999847,73.05879974,71.72000122,72.93499756,8570650
2026-07-02 18:30:00,72.94000244,73.23989868,71.85500336,72.43000031,7568275
2026-07-02 19:30:00,72.43000031,73.68000031,72.34999847,73.33999634,6596999
2026-07-06 13:30:00,75.52999878,77.07499695,75.11000061,76.85990143,24279194
2026-07-06 14:30:00,76.87999725,77.25969696,76.32499695,77.20010376,8004184
2026-07-06 15:30:00,77.21499634,77.44999695,76.94999695,77.00499725,4096201
2026-07-06 16:30:00,76.98000336,77.08999634,76.37989807,76.43009949,3487631
2026-07-06 17:30:00,76.43000031,76.77980042,75.88999939,76.55989838,5752246
2026-07-06 18:30:00,76.55999756,77.19000244,76.39009857,77.06999969,3477479
2026-07-06 19:30:00,77.06999969,77.07990265,76.25499725,76.38999939,3963205
2026-07-07 13:30:00,73.69999695,74.37999725,71.13999939,71.5,28885809
2026-07-07 14:30:00,71.5,71.90000153,70.76000214,71.56999969,9947935
2026-07-07 15:30:00,71.58000183,73.33999634,71.06999969,73.24500275,7780522
2026-07-07 16:30:00,73.23000336,73.59500122,72.86949921,73.23989868,5055592
2026-07-07 17:30:00,73.25,73.54959869,73.08000183,73.12000275,3304075
2026-07-07 18:30:00,73.12950134,73.2201004,71.23999786,71.61499786,7581898
2026-07-07 19:30:00,71.62000275,72.25,71.50509644,72.20999908,6287895
2026-07-08 13:30:00,70.79499817,72.26860046,70.79499817,71.48000336,26653755
2026-07-08 14:30:00,71.47000122,71.79000092,69.58200073,69.7440033,12006425
2026-07-08 15:30:00,69.73999786,71.52999878,69.56999969,71.34999847,9196277
2026-07-08 16:30:00,71.34059906,72.58999634,71.125,72.55999756,6548096
2026-07-08 17:30:00,72.56999969,72.68000031,71.69000244,72.05000305,5069635
2026-07-08 18:30:00,72.04499817,72.55999756,71.87999725,72.45999908,3590417
2026-07-08 19:30:00,72.47000122,73.01499939,72.16000366,72.73000336,5959333
2026-07-09 13:30:00,74.85500336,76.22989655,73.88999939,75.00050354,24342793
2026-07-09 14:30:00,75.01499939,75.88999939,74.5109024,75.77999878,7402933
2026-07-09 15:30:00,75.80000305,76.16999817,75.67030334,75.92510223,4240967
2026-07-09 16:30:00,75.91999817,76.66000366,75.73000336,76.64499664,4129902
2026-07-09 17:30:00,76.65000153,76.68499756,76.30999756,76.43009949,3284666
2026-07-09 18:30:00,76.44000244,76.50499725,76.05000305,76.24500275,3298215
2026-07-09 19:30:00,76.23000336,76.39990234,75.98370361,76.33499908,3593172
2026-07-10 13:30:00,75.52899933,76.53990173,75.23840332,76.06500244,16533639
2026-07-10 14:30:00,76.11000061,76.65000153,74.33000183,76.58000183,10509016
2026-07-10 15:30:00,76.59999847,76.96499634,75.47000122,76.83499908,5682609
2026-07-10 16:30:00,76.84999847,77.12999725,76.71009827,77.11799622,4077079
2026-07-10 17:30:00,77.125,77.27999878,76.92019653,77.09999847,2941536
2026-07-10 18:30:00,77.09010315,77.31999969,76.95999908,77.11000061,2277503
2026-07-10 19:30:00,77.09999847,77.25,76.95500183,77.05000305,3010044
2026-07-13 13:30:00,74.54000092,74.75029755,72.88999939,74.47499847,24611712
2026-07-13 14:30:00,74.48999786,74.84500122,73.70999908,74.50499725,6944943
2026-07-13 15:30:00,74.5,74.62000275,73.19999695,73.36000061,5747017
2026-07-13 16:30:00,73.36000061,73.51999664,72.61000061,73.02999878,7001037
2026-07-13 17:30:00,73.02999878,73.19000244,72.63999939,72.70500183,4893020
2026-07-13 18:30:00,72.69499969,73.09999847,72.16999817,72.27999878,6039522
2026-07-13 19:30:00,72.28910065,72.92500305,72.09030151,72.63500214,5877444
2026-07-14 13:30:00,75.19000244,75.20899963,73.41500092,74.27020264,25722656
2026-07-14 14:30:00,74.30000305,75.78500366,74.0802002,75.76000214,10208338
2026-07-14 15:30:00,75.76309967,75.83999634,74.44229889,74.99009705,6190805
2026-07-14 16:30:00,74.99500275,75.61000061,74.7826004,75.49009705,3236153
2026-07-14 17:30:00,75.49079895,75.69999695,75.26010132,75.52500153,2045552
2026-07-14 18:30:00,75.52500153,75.64800262,74.98999786,75.11499786,3577331
2026-07-14 19:30:00,75.12000275,75.38770294,74.93000031,75.01999664,5078209
2026-07-15 13:30:00,76.33000183,76.46990204,73.91999817,74.55999756,23465978
2026-07-15 14:30:00,74.55999756,74.65000153,73.09999847,73.93000031,10576428
2026-07-15 15:30:00,73.91000366,74.04000092,72.31999969,72.56999969,7649043
2026-07-15 16:30:00,72.54000092,73.66739655,72.05999756,73.63999939,7112571
2026-07-15 17:30:00,73.64499664,74.68000031,73.63999939,74.54000092,6971201
2026-07-15 18:30:00,74.55000305,74.6269989,73.52999878,73.93039703,6346125
2026-07-15 19:30:00,73.94000244,74.44000244,73.69999695,74.40000153,4821389
2026-07-16 13:30:00,72.59999847,73.11669922,71.06999969,72.76000214,23123551
2026-07-16 14:30:00,72.76000214,72.94000244,71.65000153,72.18730164,6972426
2026-07-16 15:30:00,72.16999817,74.44000244,71.09500122,71.34999847,7373667
2026-07-16 16:30:00,71.36990356,71.75,71.13999939,71.60009766,4985874
2026-07-16 17:30:00,71.62000275,71.67500305,70.75,71.11000061,6556438
2026-07-16 18:30:00,71.12999725,71.12999725,70,70.21499634,8079380
2026-07-16 19:30:00,70.20999908,70.87999725,69.69000244,70.76000214,7363476
2026-07-17 13:30:00,66.37999725,68.38999939,64.91000366,67.98000336,35955511
2026-07-17 14:30:00,67.98999786,68.44000244,66.82009888,67.39009857,9274935
