Date,o,h,l,c,v
2024-09-26,260.6000061,261.75,251.5299988,254.2200012,67142200
2024-09-27,257.3800049,260.7000122,254.1199951,260.4599915,70988100
2024-09-30,259.0400085,264.8599854,255.7700043,261.6300049,80705700
2024-10-01,262.6700134,263.980011,248.5299988,258.019989,87397600
2024-10-02,247.5500031,251.1600037,241.5,249.0200043,93983900
2024-10-03,244.4799957,249.7899933,237.8099976,240.6600037,80729200
2024-10-04,246.6900024,250.9600067,244.5800018,250.0800018,86573200
2024-10-07,249,249.8300018,240.6999969,240.8300018,68113300
2024-10-08,243.5599976,246.2100067,240.5599976,244.5,56303200
2024-10-09,243.8200073,247.4299927,239.5099945,241.0500031,66289500
2024-10-10,241.8099976,242.7899933,232.3399963,238.7700043,83087100
2024-10-11,220.1300049,223.3399963,214.3800049,217.8000031,142628900
2024-10-14,220.1300049,221.9100037,213.7400055,219.1600037,86291900
2024-10-15,220.0099945,224.2599945,217.1199951,219.5700073,62988800
2024-10-16,221.3999939,222.8200073,218.9299927,221.3300018,49632800
2024-10-17,221.5899963,222.0800018,217.8999939,220.8899994,50791800
2024-10-18,220.7100067,222.2799988,219.2299957,220.6999969,49611900
2024-10-21,218.8999939,220.4799957,215.7299957,218.8500061,47329000
2024-10-22,217.3099976,218.2200012,215.2599945,217.9700012,43268700
2024-10-23,217.1300049,218.7200012,212.1100006,213.6499939,80938900
2024-10-24,244.6799927,262.1199951,242.6499939,260.480011,204491900
2024-10-25,256.0100098,269.4899902,255.3200073,269.1900024,161611900
2024-10-28,270,273.5400085,262.2399902,262.5100098,107653600
2024-10-29,264.5100098,264.980011,255.5099945,259.519989,80521800
2024-10-30,258.0400085,263.3500061,255.8200073,257.5499878,53993600
2024-10-31,257.9899902,259.75,249.25,249.8500061,66575300
2024-11-01,252.0399933,254,246.6300049,248.9799957,57544800
2024-11-04,244.5599976,248.8999939,238.8800049,242.8399963,68802400
2024-11-05,247.3399963,255.2799988,246.2100067,251.4400024,69282500
2024-11-06,284.6700134,289.5899963,275.6199951,288.5299988,165228700
2024-11-07,288.8900146,299.75,285.519989,296.9100037,117309200
2024-11-08,299.1400146,328.7099915,297.6600037,321.2200012,204782800
2024-11-11,346.2999878,358.6400146,336,350,210521600
2024-11-12,342.7399902,345.8399963,323.3099976,328.4899902,155726000
2024-11-13,335.8500061,344.6000061,322.5,330.2399902,125405600
2024-11-14,327.6900024,329.980011,310.3699951,311.1799927,120726100
2024-11-15,310.5700073,324.6799927,309.2200012,320.7200012,114440300
2024-11-18,340.730011,348.5499878,330.0100098,338.7399902,126085600
2024-11-19,335.7600098,347.3800049,332.75,346,88852500
2024-11-20,345,346.6000061,334.2999878,342.0299988,66340700
2024-11-21,343.8099976,347.9899902,335.2799988,339.6400146,58011700
2024-11-22,341.0899963,361.5299988,337.7000122,352.5599976,89140700
2024-11-25,360.1400146,361.9299927,338.2000122,338.5899963,95890900
2024-11-26,341,346.9599915,335.6600037,338.230011,62295900
2024-11-27,341.7999878,342.5499878,326.5899963,332.8900146,57896400
2024-11-29,336.0799866,345.4500122,334.6499939,345.1600037,37167600
2024-12-02,352.3800049,360,351.1499939,357.0899963,77986500
2024-12-03,351.7999878,355.6900024,348.2000122,351.4200134,58267200
2024-12-04,353,358.1000061,348.6000061,357.9299927,50810900
2024-12-05,359.8699951,375.4299927,359.5,369.4899902,81403600
2024-12-06,377.4200134,389.4899902,370.7999878,389.2200012,81455800
2024-12-09,397.6099854,404.7999878,378.0100098,389.7900085,96359200
2024-12-10,392.6799927,409.730011,390.8500061,400.9899902,97563600
2024-12-11,409.7000122,424.8800049,402.3800049,424.769989,104287600
2024-12-12,424.8399963,429.2999878,415,418.1000061,87752200
2024-12-13,420,436.2999878,415.7099915,436.230011,89000200
2024-12-16,441.0899963,463.1900024,436.1499939,463.019989,114083800
2024-12-17,475.8999939,483.9899902,457.5100098,479.8599854,131223000
2024-12-18,466.5,488.5400085,427.0100098,440.1300049,149340800
2024-12-19,451.8800049,456.3599854,420.019989,436.1700134,118566100
2024-12-20,425.5100098,447.0799866,417.6400146,421.0599976,132216200
2024-12-23,431,434.5100098,415.4100037,430.6000061,72698100
2024-12-24,435.8999939,462.7799988,435.1400146,462.2799988,59551800
2024-12-26,465.1600037,465.3299866,451.019989,454.1300049,76366400
2024-12-27,449.519989,450,426.5,431.6600037,82666800
2024-12-30,419.3999939,427,415.75,417.4100037,64941000
2024-12-31,423.7900085,427.9299927,402.5400085,403.8399963,76825100
2025-01-02,390.1000061,392.730011,373.0400085,379.2799988,109710700
2025-01-03,381.480011,411.8800049,379.4500122,410.4400024,95423300
2025-01-06,423.2000122,426.4299927,401.7000122,411.0499878,85516500
2025-01-07,405.8299866,414.3299866,390,394.3599854,75699500
2025-01-08,392.9500122,402.5,387.3999939,394.9400024,73038800
2025-01-10,391.3999939,399.2799988,377.2900085,394.7399902,62287300
2025-01-13,383.2099915,403.7900085,380.0700073,403.3099976,67580500
2025-01-14,414.3399963,422.6400146,394.5400085,396.3599854,84565000
2025-01-15,409.8999939,429.7999878,405.6600037,428.2200012,81375500
2025-01-16,423.4899902,424,409.1300049,413.8200073,68335200
2025-01-17,421.5,439.7399902,419.75,426.5,94991400
2025-01-21,432.6400146,433.2000122,406.3099976,424.0700073,87320900
2025-01-22,416.8099976,428,414.5899963,415.1099854,60963300
2025-01-23,416.0599976,420.730011,408.9500122,412.3800049,50690600
2025-01-24,414.4500122,418.8800049,405.7799988,406.5799866,56427100
2025-01-27,394.7999878,406.6900024,389,397.1499939,58125500
2025-01-28,396.9100037,400.5899963,386.5,398.0899963,48910700
2025-01-29,395.2099915,398.5899963,384.480011,389.1000061,68033600
2025-01-30,410.7799988,412.5,384.4100037,400.2799988,98092900
2025-01-31,401.5299988,419.9899902,401.3399963,404.6000061,83283600
2025-02-03,386.6799927,389.1700134,374.3599854,383.6799927,93732100
2025-02-04,382.6300049,394,381.3999939,392.2099915,57072200
2025-02-05,387.5100098,388.3900146,375.5299988,378.1700134,57223300
2025-02-06,373.0299988,375.3999939,363.1799927,374.3200073,77918200
2025-02-07,370.1900024,380.5499878,360.3399963,361.6199951,70298300
2025-02-10,356.2099915,362.7000122,350.5100098,350.730011,77514900
2025-02-11,345.7999878,349.3699951,325.1000061,328.5,118543400
2025-02-12,329.9400024,346.3999939,329.1199951,336.5100098,105382700
2025-02-13,345,358.6900024,342.8500061,355.9400024,89441500
2025-02-14,360.6199951,362,347.5,355.8399963,68277300
2025-02-18,355.0100098,359.1000061,350.019989,354.1099854,51631700
2025-02-19,354,367.3399963,353.6700134,360.5599976,67094400
2025-02-20,361.5100098,362.2999878,348,354.3999939,45965400
2025-02-21,353.4400024,354.980011,334.4200134,337.7999878,74058600
2025-02-24,338.1400146,342.3999939,324.7000122,330.5299988,76052300
2025-02-25,327.019989,328.8900146,297.25,302.7999878,134228800
2025-02-26,303.7099915,309,288.0400085,290.7999878,100118300
2025-02-27,291.1600037,297.230011,280.8800049,281.9500122,101748200
2025-02-28,279.5,293.8800049,273.6000061,292.980011,115697000
2025-03-03,300.3399963,303.9400024,277.2999878,284.6499939,115551400
2025-03-04,270.9299927,284.3500061,261.8399963,272.0400085,126706600
