Date,o,h,l,c,v
2024-09-26,183.9586833,184.7686888,179.371918,182.3289185,15103400
2024-09-27,181.3627494,181.4603462,173.126083,173.6823578,17908400
2024-09-30,170.0715127,172.5600814,167.7878764,169.4859619,13540200
2024-10-01,171.0864475,171.7500728,166.665585,167.9245148,11850200
2024-10-02,168.793091,172.7064776,166.6753571,171.5646667,11164400
2024-10-03,171.5646408,176.4344125,170.9010156,175.1559753,12555000
2024-10-04,175.3706997,176.8638381,173.272503,176.7955322,9993800
2024-10-07,177.2249227,180.5430044,176.5710512,180.0648041,12054200
2024-10-08,180.5039973,182.0459193,177.6445784,181.5677338,10394200
2024-10-09,183.2755574,183.4707361,177.8690178,182.6314545,11925000
2024-10-10,181.3822889,182.572898,179.9574565,181.3042145,6443800
2024-10-11,183.6366311,186.8766532,183.4804822,186.213028,12163900
2024-10-14,186.017841,189.5701459,185.9104905,187.5792999,11714400
2024-10-15,188.3112506,188.9553387,179.8110838,182.6217041,21812700
2024-10-16,185.2078331,185.4322878,182.1630047,182.9632416,18689200
2024-10-17,198.4509188,207.4780687,197.1041608,200.8809204,62274700
2024-10-18,200.988284,200.988284,195.9233182,195.9428406,21030800
2024-10-21,195.9721058,198.538749,194.8498175,197.0846405,14820000
2024-10-22,194.274024,195.3475139,192.3612377,193.6982269,11165100
2024-10-23,191.9416009,198.2362201,191.5024452,196.0209045,16535700
2024-10-24,194.1666981,195.6695902,192.6540375,193.161499,9935800
2024-10-25,195.4256079,200.2563503,195.1816309,198.5387573,13434900
2024-10-28,194.4594686,194.9279153,189.8336731,189.9898071,20135300
2024-10-29,189.7068045,194.0007949,188.9358435,192.1953735,13779100
2024-10-30,189.6970196,190.7412335,187.9696581,189.7946014,10007800
2024-10-31,188.2136533,188.2136533,183.1389337,185.9495392,13062700
2024-11-01,189.5213684,193.3957251,187.9111258,188.3014832,12691200
2024-11-04,189.0333889,189.6774918,186.0080829,186.9449463,10917300
2024-11-05,188.9163048,193.5616223,188.8284766,191.0437775,10339200
2024-11-06,187.4133926,189.5799098,183.9586843,188.5649719,19834900
2024-11-07,191.5805202,197.1431935,191.5219681,196.3429565,14865200
2024-11-08,198.9778866,201.6323576,195.2011273,196.3526917,13112100
2024-11-11,193.1907893,193.4249977,186.8766622,189.3749847,16610000
2024-11-12,189.1602707,189.3261733,185.1492877,187.1499023,11819000
2024-11-13,187.8037415,187.8427713,182.0068455,182.1629944,13882200
2024-11-14,183.8610977,188.0184761,183.021816,183.9586945,11453900
2024-11-15,183.6463902,184.2514634,180.3575845,181.5286713,9834800
2024-11-18,179.9086594,183.4707179,179.0693779,182.9632416,10681500
2024-11-19,184.5735105,185.4420682,183.4902519,185.1004944,9390100
2024-11-20,184.3002523,184.3002523,179.6256442,183.822052,10624500
2024-11-21,184.8467615,187.6671354,182.2410886,186.6326752,18137300
2024-11-22,188.3014618,188.3502602,184.8662612,185.5006104,8838900
2024-11-25,183.5585721,183.714721,179.2841043,180.6210938,14380000
2024-11-26,180.933364,181.4213181,177.9373338,179.4109497,10186600
2024-11-27,177.6152665,178.0544221,173.7604326,176.8247833,9895200
2024-11-29,177.1370774,182.4460199,176.8150259,180.2111969,8045300
2024-12-02,184.7784298,190.5850798,184.3880725,189.7165222,16646900
2024-12-03,188.838229,194.2057239,187.9599176,194.0983734,11217700
2024-12-04,195.0352365,197.7189837,193.4933,195.8549957,12761100
2024-12-05,196.4015137,200.6759961,195.9135596,199.3780365,12483700
2024-12-06,197.1334453,198.2947783,195.1133082,198.1288757,9672900
2024-12-09,196.0892208,198.2362307,194.1862029,194.3716278,9699700
2024-12-10,194.3033012,195.0937843,185.7836131,187.3157959,15307900
2024-12-11,189.9800337,191.2779933,188.6039997,189.9117279,9027600
2024-12-12,190.5441705,191.3175796,187.2742752,187.4407196,7944900
2024-12-13,194.3427118,198.2881096,193.1287525,196.7706604,19477000
2024-12-16,198.9342458,201.1859652,196.6531574,197.974823,15139300
2024-12-17,196.7804449,198.151049,193.3245507,196.4475861,11169400
2024-12-18,198.7384512,200.9314326,189.8882331,191.4546356,14721100
2024-12-19,194.2350322,194.4014766,189.8784529,190.5539703,10553400
2024-12-20,188.5567539,193.9217081,187.9497594,193.0699768,16170100
2024-12-23,196.7804413,203.6824448,196.6923342,203.0069275,17847000
2024-12-24,201.5971539,202.8502819,200.2559189,201.9985504,7634500
2024-12-26,201.1859599,203.7901224,198.6307508,198.7971802,8044900
2024-12-27,200.206978,200.206978,194.8713916,197.3972321,10664400
2024-12-30,195.6447859,197.7300759,194.3133356,196.1832428,11235200
2024-12-31,196.5748432,197.5440657,193.2168558,193.3441315,6427900
2025-01-02,192.864412,199.4922947,192.5609222,197.3482666,10951400
2025-01-03,199.8153804,204.4167114,199.4237686,204.2306976,10261900
2025-01-06,214.1774133,217.5354009,211.1620693,215.3913727,24339900
2025-01-07,216.5955628,216.830515,206.883813,206.9817047,17010000
2025-01-08,205.5621647,205.8852389,201.5971821,202.7719879,13262700
2025-01-10,203.2418875,205.5719144,198.9636162,203.9957123,17265200
2025-01-13,196.3105111,199.3160552,195.8503766,197.1328735,16612400
2025-01-14,200.8824853,201.9300152,194.3329249,197.220993,14182900
2025-01-15,198.2391758,204.6516611,195.1650937,202.4586945,18286500
2025-01-16,214.2948802,217.2906398,208.694958,210.2809448,38539600
2025-01-17,210.6529828,211.1522711,206.6292625,207.0600281,21606100
2025-01-21,209.9578905,215.5284289,207.5984796,214.1088715,19061300
2025-01-22,217.2906453,220.6975862,214.7060669,218.5144043,17294500
2025-01-23,215.4795001,219.9829244,214.8039827,219.9046021,8986800
2025-01-24,221.4710099,221.647224,216.3214374,217.2221222,13183800
2025-01-27,192.9035572,202.6544747,183.7302652,188.2728577,68667500
2025-01-28,191.5427336,198.581797,188.4197134,198.1510315,31738800
2025-01-29,200.1971632,202.1160087,195.5566642,198.0825043,15199500
2025-01-30,202.2335163,205.2194762,201.1076491,203.7803345,13539000
2025-01-31,205.5229766,210.4865503,203.8292983,204.9257965,15746900
2025-02-03,195.4392224,200.6867019,193.8238515,195.6056519,17719800
2025-02-04,199.786018,201.4307431,197.8377882,199.7664337,12692900
2025-02-05,201.6754728,206.0614206,199.5510291,204.1915283,10997800
2025-02-06,205.6502586,206.7467419,202.6544988,206.0810242,8491400
2025-02-07,208.5382965,208.704726,201.4013414,201.7929382,11616200
2025-02-10,203.6335023,205.5719324,202.1943605,203.584549,9296500
2025-02-11,200.8237396,205.4348548,196.7804353,204.3579559,9224500
2025-02-12,200.5985593,202.7230179,198.7482364,202.0475006,7373700
2025-02-13,197.6419709,198.0531521,195.047593,197.5930176,15580900
2025-02-14,195.7818464,201.9202254,193.3147591,199.6195526,23220300
2025-02-18,200.4614855,201.5286146,196.3105051,198.483902,14988100
2025-02-19,197.7692363,198.3468619,195.8210216,196.7314911,13163100
2025-02-20,196.0755366,196.1342746,193.4615895,195.8993225,10639300
2025-02-21,197.1035284,198.4349789,191.8952028,194.0783997,13757300
2025-02-24,192.7469427,194.6168351,187.4407254,187.6267242,15114300
2025-02-25,186.647705,189.4672503,183.5344694,185.394577,20581000
2025-02-26,187.0784688,191.9637198,187.0784688,190.5343628,14112300
2025-02-27,190.60291,190.6812323,177.2786217,177.2884064,24219200
2025-02-28,175.5457833,178.3359599,171.8353525,176.7401733,27929400
2025-03-03,177.3471544,177.7583506,167.4787747,169.3388824,37403000
2025-03-04,171.3850002,179.7457302,170.5234691,176.2212982,29395200
2025-03-05,179.1583252,180.8618032,176.9261899,180.4114532,17334000
2025-03-06,174.8311021,177.7387546,172.0996638,172.1584167,17864300
2025-03-07,172.0996597,174.7234066,167.4298064,173.3821716,21012700
2025-03-10,168.8493507,171.218546,164.3850808,167.0675507,18265100
2025-03-11,167.0675851,169.6913324,164.5711285,167.3808746,16561100
2025-03-12,171.9136654,174.3905523,171.091288,173.4506989,14737600
2025-03-13,170.2395583,170.2395583,166.9207245,167.9878387,14381600
2025-03-14,169.0255758,170.7094693,168.3206895,170.4353485,11449400
2025-03-17,170.2982875,173.4409069,170.1710267,172.5402222,9678100
2025-03-18,171.3844413,171.5810027,167.5022839,170.1559143,9986000
2025-03-19,170.0281312,172.7112299,168.7897814,170.7750702,10678500
2025-03-20,171.8463683,175.6007392,171.5515188,174.4213562,12209700
2025-03-21,171.9053488,174.1560039,170.8045783,173.6940765,9993200
2025-03-24,176.8980741,179.7875572,176.5933868,178.0479736,11440000
2025-03-25,179.3354257,179.374732,176.7112944,177.7923889,8718800
2025-03-26,176.1510943,176.4656044,168.5244048,170.5195312,14612400
2025-03-27,168.4457811,168.662003,164.67175,165.3498993,17559100
2025-03-28,165.1533358,165.733212,161.24171,162.4112701,16332000
2025-03-31,157.6052783,163.2761633,156.9860959,163.1483917,19408300
2025-04-01,163.5316782,165.9690715,162.2245238,165.7430267,9180000
2025-04-02,163.9837852,168.7996049,163.4923744,167.4629669,10072700
2025-04-03,157.3104226,159.0205376,154.50939,154.6764679,28370500
2025-04-04,148.2979346,148.7107178,142.3518615,144.2781982,36085100
2025-04-07,132.199324,151.1088164,131.9437958,143.6590271,46388300
2025-04-08,149.3692037,149.9883861,136.5925246,138.9414673,30479700
2025-04-09,137.7915762,157.8607902,135.5310837,156.0229187,45612500
2025-04-10,152.8287699,153.3201807,144.3863353,148.533844,24503500
2025-04-11,153.3201883,155.2956546,150.6174286,154.3816376,19632200
2025-04-14,155.5806504,155.865662,151.3839983,153.1629028,17509400
2025-04-15,153.801768,155.5315287,153.3693241,154.6273346,14306600
2025-04-16,148.0129637,150.9024471,145.9392092,149.0645752,23806100
2025-04-17,153.369305,154.7943933,148.8483199,149.1333466,27239900
2025-04-21,147.4134222,147.6984339,143.3347034,145.3200073,15170500
2025-04-22,145.4575918,149.978577,144.9072141,148.7991791,12668600
2025-04-23,156.6322592,157.6249185,153.3201555,155.0990601,17667900
2025-04-24,155.0695825,161.7232886,154.6862827,161.3596344,18761100
2025-04-25,161.1139253,163.0599228,158.3915205,162.2638397,14654800
2025-04-28,162.1655841,162.4800943,157.7428864,160.5930634,11415600
2025-04-29,161.5562221,163.1483883,160.6913343,161.6544952,9830100
2025-04-30,160.730641,164.0525829,158.9713969,163.8265381,10073000
2025-05-01,169.8315725,171.777555,168.0133465,169.7529449,22670600
2025-05-02,176.7113278,177.5467171,174.0970187,176.2002563,21691200
2025-05-05,175.925078,176.9865272,173.2223185,173.3697357,14618900
2025-05-06,169.635021,171.7382587,167.6595399,169.3205109,14565600
2025-05-07,171.1092429,172.9569372,168.4261291,171.5416718,9682500
2025-05-08,172.32791,174.4016638,170.6767771,172.2099762,10343000
2025-05-09,176.7113245,177.3599904,173.4385268,173.4876709,11582800
2025-05-12,184.0628243,185.9203565,181.4386925,183.7679749,22064900
2025-05-13,184.4952668,190.9425739,184.4952668,190.6575623,19996000
2025-05-14,191.9254086,192.8492634,189.9106212,191.4143372,12359000
2025-05-15,189.7828506,191.148972,188.3381017,190.883606,10241800
2025-05-16,191.1882782,191.7288331,189.2619564,190.883606,9146700
2025-05-19,185.7532824,190.1759796,185.5665439,190.1759796,10144400
2025-05-20,188.5051815,190.4020199,187.5321827,190.1268311,7054100
2025-05-21,189.7828431,191.915564,187.2569845,188.4658508,7375700
2025-05-22,188.0530875,193.4487837,188.0530875,192.8197784,11825000
2025-05-23,188.7214197,189.4880193,186.7655991,188.6820984,9403100
2025-05-27,190.7656913,194.9033621,190.3725537,194.2841797,12228200
2025-05-28,192.7214858,194.6674834,192.121964,192.7706299,17787600
2025-05-29,196.0335748,196.3677305,192.7116335,193.7632446,14609900
2025-05-30,192.406979,192.5445734,187.2864721,189.9990692,11998300
2025-06-02,189.7238686,191.8074605,188.8983021,191.4929504,7447400
2025-06-03,191.0113698,194.7657402,190.3135599,194.2153625,9548300
