Date,o,h,l,c,v
2024-09-26,119.3499985,122.4499969,118.8000031,120.5500031,1582480
2024-09-27,120.5999985,129.1999969,120.1999969,129,1951120
2024-09-30,130,134.6000061,124.5,124.6500015,2785780
2024-10-01,124.9000015,141.6999969,124.6500015,139,6493420
2024-10-02,139.5500031,145.6000061,135.0500031,136.3000031,2758620
2024-10-03,141.1000061,146.6999969,137.3999939,145.3999939,2931320
2024-10-04,140.3000031,144.1499939,136.0500031,137.3000031,2818860
2024-10-07,140.8500061,157.1000061,140.3000031,155.1999969,3002560
2024-10-08,147.5,149.9499969,143.25,146.25,2136120
2024-10-09,144.6000061,145.6999969,139.4499969,140.6000061,1524360
2024-10-10,141.6999969,146.3500061,141.3000031,143.1000061,1740400
2024-10-11,144,144,139.0500031,140.9499969,1467140
2024-10-14,138.0500031,138.6499939,131,133.4499969,1161940
2024-10-15,129.8999939,140.6499939,128.3999939,140,2353760
2024-10-16,139.25,142.6999969,136.3500061,137.6000061,1444360
2024-10-17,135.8500061,138.4499969,133.9499969,134.6000061,1201440
2024-10-18,133,134.1000061,129.3000031,129.8500061,1140260
2024-10-21,131.1499939,135.1999969,129.1499939,130.1000061,1445760
2024-10-22,132.8500061,134.75,128.1000061,129.3500061,1218980
2024-10-23,131.8500061,144.25,131.1499939,139.1000061,2656900
2024-10-24,134.6999969,144.9499969,134.25,135.5500031,2061940
2024-10-25,133.3500061,145.3999939,131.3000031,145.3000031,2617040
2024-10-28,136,137.5,132.1000061,134.8999939,1933720
2024-10-29,135.3999939,136.8000031,131,134.1000061,1305140
2024-10-30,135.8999939,139.3000031,132.5500031,138.6499939,1573160
2024-10-31,144.1000061,155.1000061,143.75,154.6999969,3107300
2024-11-01,148.6000061,151.25,142.9499969,150.6499939,2336680
2024-11-04,148.3999939,150,139.8500061,140.9499969,2187740
2024-11-05,137.8999939,138.1499939,129.3000031,129.9499969,2605120
2024-11-06,109.9499969,118.25,109.0500031,110.5500031,2884680
2024-11-07,107.9499969,108.0500031,104.8000031,105.6500015,1818620
2024-11-08,105.5,107.4499969,103.8000031,104.6999969,1647340
2024-11-11,102.9000015,104.4000015,101.5500031,104.25,1591000
2024-11-12,104.75,107.75,103.0500031,103.6500015,2284800
2024-11-13,102.5999985,104.5,99.55000305,100.0999985,1966320
2024-11-14,99.25,101.0500031,97.5,99.94999695,2048980
2024-11-15,102.1999969,117.4499969,101.4000015,110.5,5231400
2024-11-18,109.1999969,110.5999985,101.8000031,104.4000015,2112880
2024-11-19,113.5999985,114,105.6500015,109.8499985,2855520
2024-11-20,109.8000031,121.8499985,109.1999969,115.3499985,3030640
2024-11-21,110.5,119.9499969,109.5999985,113.8499985,2378060
2024-11-22,113.0500031,113.8499985,107.1999969,107.4000015,2241260
2024-11-25,102.4000015,109,101.25,101.5500031,2340200
2024-11-26,101.4499969,101.4499969,98.55000305,99.90000153,1777740
2024-11-27,100.1999969,104,98.59999847,99.25,1794220
2024-11-29,97.75,97.90000153,95.75,96.5,1329040
2024-12-02,96.30000305,96.65000153,94.75,95.34999847,1343980
2024-12-03,96.5,98.34999847,93.30000305,94.15000153,1733780
2024-12-04,92.80000305,95.25,91.69999695,95.25,1639900
2024-12-05,96.05000305,96.44999695,94.55000305,95.80000305,1541900
2024-12-06,93.05000305,94.69999695,92.34999847,93.25,1471880
2024-12-09,93.19999695,97.59999847,92.65000153,96.30000305,2580660
2024-12-10,95.44999695,96.94999695,94,96.25,1737320
2024-12-11,92.59999847,95,91.80000305,94.34999847,1350340
2024-12-12,95.05000305,97,93.40000153,95.40000153,2096860
2024-12-13,93.75,97.30000305,93,95.40000153,1690280
2024-12-16,94.80000305,98.84999847,94.75,98.40000153,1565020
2024-12-17,100,102.25,98.05000305,101.5500031,2769500
2024-12-18,100.1500015,127.5999985,98.5,126.1999969,6725000
2024-12-19,118,145.8000031,116.5,143.8500061,7279960
2024-12-20,141.8500061,142.8500061,110.75,112.0999985,4913600
2024-12-23,109.1999969,114.9000015,100.9499969,101.0500031,2592820
2024-12-24,98.5,98.5,92.40000153,92.90000153,1818360
2024-12-26,94.30000305,97.94999695,92.30000305,92.94999695,1968220
2024-12-27,95.75,107.25,94.90000153,99.59999847,4999780
2024-12-30,108.5,112.8000031,98.30000305,102.6500015,4734380
2024-12-31,100.0500031,105.4000015,98.90000153,103.5999985,2620200
2025-01-02,101.3000031,114.5999985,100.5500031,107,3136660
2025-01-03,104.25,105.3499985,97.94999695,97.94999695,2958860
2025-01-06,97.44999695,100.4000015,95.19999695,97.55000305,2315040
2025-01-07,96,108.8000031,95.59999847,106.1999969,4114880
2025-01-08,107.8000031,113,103.9000015,105.1500015,4061080
2025-01-10,111.3000031,119.3000031,109.4499969,115.5,4273720
2025-01-13,121.5500031,122.9499969,111.0500031,112.3000031,2848200
2025-01-14,109.0500031,114.4499969,105.1999969,109,2655800
2025-01-15,100.4499969,100.8000031,95.75,95.75,3731180
2025-01-16,95.19999695,96.65000153,94,95.34999847,2315960
2025-01-17,93,96.55000305,93,96.55000305,1899480
2025-01-21,93.44999695,94.65000153,90.05000305,90.75,2716940
2025-01-22,90.19999695,92.94999695,90.09999847,92.59999847,1632620
2025-01-23,92.34999847,92.34999847,89.19999695,90.15000153,2275660
2025-01-24,89,90.55000305,88.30000305,89.09999847,2356700
2025-01-27,105.5500031,105.75,96.34999847,98.55000305,7384140
2025-01-28,96.44999695,100.5500031,92.19999695,93.05000305,3505680
2025-01-29,92.84999847,98.09999847,92.09999847,92.59999847,3490980
2025-01-30,90.75,93.90000153,90.44999695,92,2913080
2025-01-31,90.59999847,98.75,89.69999695,96.84999847,5577820
2025-02-03,107,110,94.40000153,99.69999695,8777440
2025-02-04,97.84999847,99.80000305,94.40000153,95.5,3043260
2025-02-05,95.69999695,97.44999695,92,92.30000305,3443360
2025-02-06,91.25,94,90.84999847,91.34999847,2636260
2025-02-07,90.34999847,96.34999847,90.15000153,95.94999695,5641180
2025-02-10,93.25,94.69999695,92.30000305,92.44999695,2825600
2025-02-11,93.69999695,93.80000305,91.40000153,92.84999847,2225660
2025-02-12,95.90000153,96.69999695,91.65000153,92.25,4582800
2025-02-13,91.80000305,93.69999695,89.80000305,89.94999695,4252840
2025-02-14,89.80000305,91,88.94999695,89.34999847,2855980
2025-02-18,88.5,90,87.69999695,88.69999695,3213020
2025-02-19,89.90000153,90.05000305,87.19999695,87.30000305,2579900
