sym,set,t,side,R,how,stop_pct,rate
AVAXUSDT,held-out,2025-11-19 08:00:00,1,-1.0138594223981856,stop,10.101431068175607,-0.00036276
AVAXUSDT,held-out,2025-11-22 16:00:00,1,1.3207188062279118,time,10.562031365087364,-0.00030168
AVAXUSDT,held-out,2025-11-29 00:00:00,1,-1.019546368602194,stop,7.162455740463565,-0.00035723
AVAXUSDT,held-out,2025-12-05 16:00:00,1,0.8195115502686203,time,7.563507121389572,-0.00048547
AVAXUSDT,held-out,2025-12-11 08:00:00,1,-1.0193196568285239,stop,7.2465055276396475,-0.00043297
AVAXUSDT,held-out,2025-12-23 00:00:00,1,0.4240776563654518,time,6.6461278621336035,-0.00040648
AVAXUSDT,held-out,2026-01-29 16:00:00,1,-1.0235920856316718,stop,5.934193448842601,-0.00040579
AVAXUSDT,held-out,2026-03-06 16:00:00,1,1.1797610571287351,time,6.761212536871154,-0.00022904
AVAXUSDT,held-out,2026-03-22 16:00:00,1,-0.6708075432174617,time,5.643413726859226,-0.00024677
AVAXUSDT,held-out,2026-04-02 08:00:00,1,-0.27068040647528263,time,5.662468103234789,-0.00021589
AVAXUSDT,held-out,2026-04-07 08:00:00,1,1.986079021198752,target,5.746722349209277,-0.00039068
AVAXUSDT,held-out,2026-05-03 08:00:00,1,1.3951452292674116,time,4.161331433171691,-0.00020803
AVAXUSDT,held-out,2026-05-28 08:00:00,1,-0.44063276494001286,time,4.56924953751108,-0.0001485
AVAXUSDT,held-out,2026-06-09 16:00:00,1,-0.21067572495898707,time,7.449646802974325,-0.00015089
AVAXUSDT,held-out,2026-06-18 00:00:00,1,-1.0230751156742772,stop,6.067141849956723,-0.00015109
AVAXUSDT,held-out,2026-06-20 00:00:00,1,1.1582350102172911,time,7.445694974433617,-0.00018652
AVAXUSDT,held-out,2026-07-08 08:00:00,1,0.49166791552289535,time,5.9188519103722905,-0.00017907
AVAXUSDT,held-out,2026-07-24 00:00:00,1,0.45073896674244807,time,4.7409438887254645,-0.0001954
AVAXUSDT,held-out,2026-08-02 00:00:00,1,1.983374465904563,target,4.811875488677176,-0.00021252
AVAXUSDT,held-out,2026-08-12 00:00:00,1,0.11306326958870458,time,4.59758007634427,-0.00024723
BNBUSDT,held-out,2026-02-19 16:00:00,1,-0.3541448844073128,time,5.939127254131962,-7.139e-05
BNBUSDT,held-out,2026-03-19 00:00:00,1,-1.0362775637848098,stop,3.859134555739409,-5.147e-05
BNBUSDT,held-out,2026-03-22 16:00:00,1,-1.0372718935071186,stop,3.756181584207998,-7.288e-05
BNBUSDT,held-out,2026-03-27 16:00:00,1,0.09414483459445197,time,3.6916518564903242,-2.719e-05
BNBUSDT,held-out,2026-08-20 00:00:00,-1,-1.0676029831456553,stop,2.0709145289988236,0.00021922
BTCUSDT,design,2020-04-01 08:00:00,1,1.186677165662829,time,10.14147786559763,-0.0004868
BTCUSDT,design,2020-04-16 08:00:00,1,-0.23611368628108895,time,6.677567516087865,-0.00046001
BTCUSDT,design,2020-04-30 08:00:00,-1,0.7247970227351631,time,4.651522056936382,0.00097517
BTCUSDT,design,2020-05-09 08:00:00,-1,1.9841512659991636,target,5.047721792527906,0.00075816
BTCUSDT,design,2020-06-02 00:00:00,-1,1.984378811020541,target,5.121249099872944,0.0003448
BTCUSDT,design,2020-06-02 12:00:00,-1,1.1349397241075232,time,5.172407249278171,0.0007831
BTCUSDT,design,2020-07-26 16:00:00,-1,-1.0642682746375323,stop,2.1783687330893584,0.00065437
BTCUSDT,design,2020-07-27 00:00:00,-1,-1.0579052087042609,stop,2.417744502312767,0.00047138
BTCUSDT,design,2020-07-27 08:00:00,-1,-1.059231339969051,stop,2.3636135882313574,0.00086993
BTCUSDT,design,2020-07-27 16:00:00,-1,-1.0600855955908177,stop,2.3300093578733687,0.00051888
BTCUSDT,design,2020-07-28 00:00:00,-1,-1.0469849821503716,stop,2.979675496139205,0.00139484
BTCUSDT,design,2020-08-02 00:00:00,-1,1.9759698851891863,target,3.3291559624176092,0.00095567
BTCUSDT,design,2020-08-10 08:00:00,-1,0.254725370796261,time,3.90040449295025,0.00131898
BTCUSDT,design,2020-08-17 16:00:00,-1,1.9780511260009956,target,3.6448338991616924,0.0008576
BTCUSDT,design,2020-09-15 00:00:00,1,0.5640350261801248,time,4.2510342857404195,-0.0002227
BTCUSDT,design,2020-09-20 04:00:00,1,-1.0373197809070591,stop,3.751361787162021,-6.476e-05
BTCUSDT,design,2020-09-21 12:00:00,1,-1.0367788814015626,stop,3.8065322996487767,-0.00012071
