sym,side,variant,t,R,how,stop_pct,gross_rr,per
BTC,1,MID,2016-06-09 14:05:00,2.21570843293342,target,0.37223853230455467,2.3231664108927603,design
BTC,1,MID,2016-08-13 17:00:00,2.262191187732127,target,0.2733960244641337,2.408499094287833,design
BTC,1,MID,2016-08-13 23:25:00,-1.3609387368041945,stop,0.27705532768639624,2.349027542677722,design
BTC,1,MID,2016-08-24 04:20:00,2.3288838521107724,target,0.2790094806232541,2.4722481561145204,design
BTC,1,MID,2017-01-24 22:00:00,-1.1748212051270532,stop,0.5720129885120281,2.7742054340148914,design
BTC,1,MID,2017-03-08 05:30:00,-1.0816595391980481,stop,1.224596672747208,2.908411573623631,design
BTC,1,MID,2017-03-08 08:00:00,2.856050609880348,target,1.4391480160210617,2.883844832263805,design
BTC,1,MID,2017-03-08 20:00:00,-1.0733799450240735,stop,1.3627701678870627,2.906136436596974,design
BTC,1,MID,2017-04-13 05:45:00,-1.3605976652367806,stop,0.27731738067226985,2.2650981534006935,design
BTC,1,MID,2017-05-30 22:15:00,-1.0870915370012626,stop,1.1482171912817472,2.3424593191368013,design
BTC,1,MID,2017-06-04 19:55:00,-1.1416101195468271,stop,0.7061642227265568,2.489033003590558,design
BTC,1,MID,2017-06-30 04:10:00,2.2833671099132706,target,0.6418782889171636,2.3456842200113224,design
BTC,1,MID,2017-06-30 13:50:00,-1.1590041503745052,stop,0.6289144010673196,2.3940360896898816,design
BTC,1,MID,2017-07-19 19:40:00,2.4772029501627744,target,1.302540209323798,2.5079121748866435,design
BTC,1,MID,2017-08-02 21:05:00,2.3647236520082533,target,0.8669709423539923,2.4108612998184467,design
BTC,1,MID,2017-09-10 05:00:00,-1.0997908997789172,stop,1.0020953836626991,2.471018113070509,design
BTC,1,MID,2017-09-21 01:00:00,-1.1006750925611997,stop,0.9932943437743631,2.5180424666312096,design
BTC,1,MID,2017-10-23 13:15:00,-1.0993997086206664,stop,1.00603916638855,2.4617043209077494,design
BTC,1,MID,2017-11-06 02:30:00,-1.132343563376519,stop,0.7556090938514236,2.281049822241957,design
BTC,1,MID,2017-11-12 23:25:00,2.7079153311130666,target,2.8132078006604986,2.722133975036423,design
BTC,1,MID,2017-11-23 23:05:00,-1.1959900288605856,stop,0.5102300386471873,2.4457810776537254,design
BTC,1,MID,2017-12-09 17:05:00,-1.0346499585747233,stop,2.886006336323558,2.851018924017335,design
BTC,1,MID,2017-12-19 11:05:00,-1.0806922504119383,stop,1.2392763801913391,2.6482938277517287,design
BTC,1,MID,2018-01-04 08:20:00,-1.0895957358973907,stop,1.1161245454194906,2.3344154126886605,design
BTC,1,MID,2018-01-10 00:20:00,-1.0591796806536977,stop,1.6897691723814932,2.665895378882784,design
BTC,1,MID,2018-04-06 06:20:00,-1.111088202360703,stop,0.9001855991449065,2.3497755886651728,design
BTC,1,MID,2018-04-17 19:00:00,-1.1805083328280508,stop,0.553991045362201,2.3293644518812613,design
BTC,1,MID,2018-05-17 18:40:00,-1.1447545022931886,stop,0.6908247993382477,2.511964191524198,design
BTC,1,MID,2018-05-17 22:00:00,-1.1361428890314194,stop,0.7345223882895695,2.606105612454065,design
BTC,1,MID,2018-07-01 14:35:00,-1.246650095942641,stop,0.4054326418071016,2.250594456767374,design
