Strategy,Asset,Period,Trades,Gross expectancy,Costs,Net expectancy,Max DD,Sharpe,OOS expectancy,Walk-forward result
SC1 turn of the month,"SPY, QQQ; fresh 12 ETFs",1993-03 to 2026-09,4556,+0.099R,0.085R,"+0.015R (t +1.3, n 4556)",-130.3R,0.1,"held-out +0.019R (t +0.4, n 232); fresh +0.013R (t +1.1, n 3825)",19 of 34 years positive; worst -0.36R (1994)
"SC2a short UVXY, VIX/VIX3M < 0.95",UVXY,2011-11 to 2026-09,221,+0.146R,0.005R,"+0.141R (t +2.2, n 221)",-6.8R,0.56,"held-out +0.090R (t +1.0, n 113)","+0.104R (t +1.5, n 170); 10 of 13 years positive"
"SC2b short UVXY, VIX/VIX3M < 0.90",UVXY,2011-12 to 2026-09,170,+0.152R,0.005R,"+0.148R (t +2.1, n 170)",-5.1R,0.54,"held-out +0.091R (t +0.9, n 87)","+0.104R (t +1.5, n 170); 10 of 13 years positive"
"SC3 trend ensemble long, stocks",39 + 53 stocks,1962-02 to 2026-09,24515,+0.474R,0.223R,"+0.251R (t +11.6, n 24515)",-503.1R,1.2,"held-out +0.256R (t +5.3, n 4259); fresh +0.453R (t +6.1, n 5329)",46 of 65 years positive; worst -0.52R (1973)
"SC4 MAX-10, stocks",39 + 53 stocks,1962-02 to 2026-09,109909,+0.039R,0.044R,"-0.004R (t -1.8, n 109909)",-2159.7R,-0.11,"held-out -0.010R (t -1.8, n 20029); fresh +0.002R (t +0.3, n 23858)",32 of 65 years positive; worst -0.13R (2008)
SC5a weekly reversal,39 + 53 stocks,1995-01 to 2026-09,13663,+0.005R,0.030R,"-0.025R (t -3.8, n 13663)",-385.6R,-0.57,"held-out -0.046R (t -3.2, n 2935); fresh -0.040R (t -3.2, n 4080)","-0.028R (t -3.2, n 7435); 6 of 26 years positive"
"SC5b weekly reversal, VIX >= 20",39 + 53 stocks,1996-03 to 2026-06,4746,-0.000R,0.023R,"-0.023R (t -2.2, n 4746)",-128.9R,-0.34,"held-out -0.060R (t -2.5, n 918); fresh -0.029R (t -1.2, n 1062)","-0.028R (t -3.2, n 7435); 6 of 26 years positive"
"SC6 RSI-2 dips, indices","SPY, QQQ; fresh 12 ETFs",1993-11 to 2026-09,2886,+0.135R,0.111R,"+0.024R (t +1.5, n 2886)",-78.4R,0.17,"held-out +0.100R (t +1.5, n 185); fresh +0.006R (t +0.3, n 2360)",20 of 32 years positive; worst -1.09R (2022)
"SC7 limit dip, indices","SPY, QQQ; fresh 12 ETFs",1993-11 to 2026-09,14475,+0.028R,0.135R,"-0.107R (t -14.4, n 14475)",-1555.2R,-1.34,"held-out -0.100R (t -3.1, n 880); fresh -0.103R (t -12.5, n 11983)",3 of 34 years positive; worst -0.80R (2022)
"SC8a event-gap drift, longs",39 + 53 stocks,1971-08 to 2026-09,944,+0.177R,0.098R,"+0.079R (t +1.3, n 944)",-69.1R,0.16,"held-out +0.166R (t +1.1, n 169); fresh +0.097R (t +1.2, n 388)","+0.056R (t +0.7, n 552); 25 of 50 years positive"
"SC8b event-gap drift, both sides",39 + 53 stocks,1962-05 to 2026-09,1857,+0.087R,0.064R,"+0.022R (t +0.6, n 1857)",-66.9R,0.06,"held-out +0.033R (t +0.4, n 363); fresh +0.057R (t +0.9, n 671)","+0.056R (t +0.7, n 552); 25 of 50 years positive"
"SC9a trend ensemble long, ETFs","SPY, QQQ, GLD, SLV; fresh 14 ETFs",1993-03 to 2026-09,4813,+0.337R,0.362R,"-0.025R (t -1.1, n 4813)",-459.3R,-0.14,"held-out +0.260R (t +2.2, n 416); fresh -0.056R (t -2.3, n 3695)",19 of 34 years positive; worst -0.85R (1994)
"SC9b trend ensemble long and short, ETFs","SPY, QQQ, GLD, SLV; fresh 14 ETFs",1993-03 to 2026-09,8866,+0.098R,0.211R,"-0.113R (t -7.3, n 8866)",-1177.0R,-0.96,"held-out +0.000R (t +0.0, n 729); fresh -0.124R (t -7.2, n 6862)",11 of 34 years positive; worst -0.87R (1993)
"K08 overnight drift after a down session, ETFs","SPY, QQQ, GLD, SLV; fresh 14 ETFs",1993-03 to 2026-09,31585,+0.025R,0.076R,"-0.051R (t -17.5, n 31585)",-1650.2R,-1.27,"held-out -0.066R (t -5.0, n 2122); fresh -0.047R (t -14.5, n 25364)",4 of 34 years positive; worst -0.24R (1995)
T01 trend ensemble (baseline),"BTC, ETH, SOL, XRP; fresh six",2012-01 to 2026-09,6235,+0.818R,0.071R,"+0.747R (t +11.6, n 6235)",-222.5R,1.58,"held-out +0.653R (t +3.5, n 808); fresh +0.469R (t +6.7, n 3447)",13 of 15 years positive; worst -0.12R (2022)
T03 MAX-10 (baseline),"BTC, ETH, SOL, XRP; fresh six",2012-03 to 2026-09,4740,+0.093R,0.014R,"+0.078R (t +5.6, n 4740)",-59.8R,0.9,"held-out +0.083R (t +2.3, n 624); fresh +0.056R (t +2.8, n 2420)",14 of 15 years positive; worst -0.06R (2022)
"N1a taker flow, 0.25 ATR stop","BTC, ETH, SOL, XRP; fresh six",2022-04 to 2026-09,13801,+0.022R,0.071R,"-0.049R (t -4.8, n 13801)",-809.5R,-1.51,"held-out -0.034R (t -1.6, n 3436); fresh -0.049R (t -3.8, n 8271)","-0.000R (t -0.0, n 2182); 1 of 2 years positive"
"N1b taker flow, 0.5 ATR stop","BTC, ETH, SOL, XRP; fresh six",2022-04 to 2026-09,13839,+0.022R,0.040R,"-0.018R (t -2.6, n 13839)",-318.3R,-0.8,"held-out +0.001R (t +0.1, n 3441); fresh -0.026R (t -2.9, n 8284)","-0.000R (t -0.0, n 2182); 1 of 2 years positive"
N1c taker flow reversed,"BTC, ETH, SOL, XRP; fresh six",2022-04 to 2026-09,13801,-0.019R,0.073R,"-0.091R (t -9.3, n 13801)",-1263.7R,-2.93,"held-out -0.120R (t -6.1, n 3436); fresh -0.078R (t -6.1, n 8271)","-0.000R (t -0.0, n 2182); 1 of 2 years positive"
N2 round-number fade,"BTC, ETH, SOL, XRP; fresh six",2016-06 to 2026-09,18342,-0.018R,0.037R,"-0.055R (t -9.9, n 18342)",-1013.8R,-1.9,"held-out -0.076R (t -5.7, n 3290); fresh -0.044R (t -6.1, n 10545)",0 of 11 years positive; worst -0.12R (2018)
N4 Asia-range bracket,"BTC, ETH, SOL, XRP; fresh six",2016-06 to 2026-09,20156,-0.207R,0.113R,"-0.320R (t -40.1, n 20156)",-6455.3R,-6.1,"held-out -0.296R (t -16.2, n 4091); fresh -0.365R (t -35.4, n 11294)",1 of 11 years positive; worst -0.36R (2022)
N5 turtle soup,"BTC, ETH, SOL, XRP; fresh six",2012-01 to 2026-09,1394,-0.079R,0.045R,"-0.124R (t -4.1, n 1394)",-198.3R,-0.9,"held-out -0.129R (t -1.6, n 196); fresh -0.098R (t -2.4, n 773)",1 of 15 years positive; worst -0.66R (2012)
"SC9a trend long, ETFs, funding 0.01%/day","SPY, QQQ, GLD, SLV; fresh 14 ETFs",1993-03 to 2026-09,4813,+0.337R,0.143R,"+0.194R (t +7.7, n 4813)",-102.7R,1.0,"held-out +0.539R (t +4.3, n 416); fresh +0.144R (t +5.4, n 3695)",22 of 34 years positive; worst -0.67R (2015)
"SC6 RSI-2 dips, indices, funding 0.01%/day","SPY, QQQ; fresh 12 ETFs",1993-11 to 2026-09,2886,+0.135R,0.073R,"+0.062R (t +3.9, n 2886)",-53.2R,0.44,"held-out +0.139R (t +2.1, n 185); fresh +0.043R (t +2.4, n 2360)",22 of 32 years positive; worst -1.06R (2022)
"SC9a trend long, ETFs, funding 0.0105%/day (Bitunix)","SPY, QQQ, GLD, SLV; fresh 14 ETFs",1993-03 to 2026-09,4813,+0.337R,0.149R,"+0.188R (t +7.5, n 4813)",-103.8R,0.97,"held-out +0.532R (t +4.2, n 416); fresh +0.139R (t +5.2, n 3695)",22 of 34 years positive; worst -0.67R (2015)
