sym,N,t,exit,R,days,stop_pct
BTC,5,2012-01-08 08:00:00,2012-01-13 08:00:00,-0.1600609127928494,5.0,11.120717033063974
BTC,5,2012-01-16 08:00:00,2012-01-18 08:00:00,-2.6862710737987436,2.0,5.962863371381678
BTC,5,2012-02-02 08:00:00,2012-02-06 08:00:00,-0.7532169849340673,4.0,12.436343900051167
BTC,5,2012-02-24 08:00:00,2012-02-29 08:00:00,-0.29662228194964524,5.0,4.401589801561596
BTC,5,2012-03-06 08:00:00,2012-03-10 08:00:00,-0.4140348403653168,4.0,2.1365081822345138
BTC,5,2012-03-14 08:00:00,2012-03-19 08:00:00,-0.5725840960034987,5.0,4.767649821990908
BTC,5,2012-03-29 08:00:00,2012-04-08 08:00:00,-0.6068825182634523,10.0,1.7831288514081538
BTC,5,2012-04-13 08:00:00,2012-04-23 08:00:00,2.136893792233532,10.0,2.2417738674487353
BTC,5,2012-05-03 08:00:00,2012-05-08 08:00:00,-0.6533421306671177,5.0,2.274447071370036
BTC,5,2012-05-16 08:00:00,2012-05-23 08:00:00,0.5649057931519512,7.0,1.8124661920205576
BTC,5,2012-05-31 08:00:00,2012-06-11 08:00:00,7.903502109470648,11.0,0.7007936934013793
BTC,5,2012-06-13 08:00:00,2012-06-19 08:00:00,1.7181044487125374,6.0,4.400563186331822
BTC,5,2012-06-20 08:00:00,2012-06-25 08:00:00,-1.0886181992863029,5.0,3.2650965942823746
BTC,5,2012-06-29 08:00:00,2012-07-04 08:00:00,-0.0015535356394694583,5.0,2.1668059026231545
BTC,5,2012-07-10 08:00:00,2012-07-23 08:00:00,5.938583879752815,13.0,4.061740843320686
BTC,5,2012-07-27 08:00:00,2012-07-30 08:00:00,-1.2152827174725804,3.0,2.9040345776998358
BTC,5,2012-07-31 08:00:00,2012-08-19 08:00:00,4.8273165549304355,19.0,3.2433950368396256
BTC,5,2012-08-25 08:00:00,2012-08-31 08:00:00,1.0244696053747646,6.0,2.839699746475189
BTC,5,2012-09-06 08:00:00,2012-09-11 08:00:00,-0.5407377438821234,5.0,3.9714116000329516
BTC,5,2012-09-13 08:00:00,2012-09-23 08:00:00,7.894947043312652,10.0,0.783544998098324
